country,city,year,methodology,concentration_pm10,concentration_pm25,sea_salt,dust,traffic,industry,biomass_burn,other_source,latitude,longitude,population,study_year,iso3,region,continent,reference_author,site_typology,season
Kuwait,Kuwait City,2004,PMF,,49.5,,54.0,16.0,30.0,,0.0,29.369,47.978,32403.0,2013,KWT,Middle East,ME,Alolayan53,urban,year
Kuwait,Kuwait City,2005,PMF,,49.5,,54.0,16.0,30.0,,0.0,29.369,47.978,32403.0,2013,KWT,Middle East,ME,Alolayan53,urban,year
Macedonia,Skopje,2006,FA,,41.0,,39.0,10.0,28.0,,23.0,42.003811,21.4523611,531444.0,2011,MKD,Central Europe,EU,Kovacevik10,urban,year
Macedonia,Skopje,2007,FA,,41.0,,39.0,10.0,28.0,,23.0,42.003811,21.4523611,531444.0,2011,MKD,Central Europe,EU,Kovacevik10,urban,year
Malaysia,Kuala Lumpur ,2004,PMF,,26.851,9.05,33.78,65.9,16.7,4.89,17.39999999999999,3.175,101.7233,1589000.0,2011,MYS,South Eastern Asia,AS,Rahman77,urban,year
Malaysia,Kuala Lumpur ,2005,PMF,,26.851,9.05,33.78,65.9,16.7,4.89,17.39999999999999,3.175,101.7233,1589000.0,2011,MYS,South Eastern Asia,AS,Rahman77,urban,year
Malaysia,Kuala Lumpur ,2006,PMF,,26.851,9.05,33.78,65.9,16.7,4.89,17.39999999999999,3.175,101.7233,1589000.0,2011,MYS,South Eastern Asia,AS,Rahman77,urban,year
Malaysia,Kuala Lumpur ,2007,PMF,,26.851,9.05,33.78,65.9,16.7,4.89,17.39999999999999,3.175,101.7233,1589000.0,2011,MYS,South Eastern Asia,AS,Rahman77,urban,year
Malaysia,Kuala Lumpur ,2008,PMF,,26.851,9.05,33.78,65.9,16.7,4.89,17.39999999999999,3.175,101.7233,1589000.0,2011,MYS,South Eastern Asia,AS,Rahman77,urban,year
Malaysia,Kuala Terengganu,2006,PCA,,14.31,9.05,33.78,17.54,16.7,4.89,34.74000000000001,5.4,103.1,31469.0,2013,MYS,South Eastern Asia,AS,Tahir75,urban,year
Malaysia,Kuala Terengganu,2007,PCA,,14.31,9.05,33.78,17.54,16.7,4.89,34.74000000000001,5.4,103.1,31469.0,2013,MYS,South Eastern Asia,AS,Tahir75,urban,year
Mexico,Colima,2006,APCS,48.0,47.5,15.6,49.0,17.0,24.0,38.17,10.0,19.2135833,-103.80294,650055.0,2011,MEX,Mexico,,Campos-Ramos49,rural,year
Mexico,Colima,2007,APCS,48.0,45.0,15.6,49.0,17.0,24.0,38.17,10.0,19.2135833,-103.80294,650055.0,2011,MEX,Mexico,,Campos-Ramos49,rural,year
Mexico,Mexico City,2006,CMB,48.0,50.0,15.6,26.6,42.0,10.0,38.17,21.40000000000001,19.876666,-99.14877,8851000.0,2009,MEX,Mexico,,Mugica51,indu-residential,spring
Mexico,Salamanca,2006,PMF,48.0,45.0,15.6,16.3,12.85,18.25,38.17,52.6,20.578,-101.198,152048.0,2012,MEX,Mexico,,Murillo52,urban,year
Mexico,Salamanca,2007,PMF,48.0,45.0,15.6,16.3,12.85,18.25,38.17,52.6,20.578,-101.198,152048.0,2012,MEX,Mexico,,Murillo52,urban,year
Mexico,Tijuana,2010,PMF,48.0,18.6,15.6,31.440000000000005,13.9,2.15,38.17,30.180000000000007,32.5,-116.94,1301000.0,2014,MEX,Mexico,,Minguillon50,urban,summer
Mongolia,Ulaanbaatar,2004,PMF,,46.0,,10.86,,53.2,2.39,33.55,47.934,106.972,1190000.0,2011,MNG,Northern China,AS,Davy15,urban,year
